city,country,url,location,temp_f,temp_c,condition,feels_like_f,forecast_high_f,forecast_low_f,wind_mph,wind_from,humidity_pct,pressure_hg,visibility_mi,dew_point_f,current_time_local,latest_report_local,scraped_at
Accra,Ghana,https://www.timeanddate.com/weather/ghana/accra,Accra Airport,77,25.0,Mostly cloudy.,78,82,76,10,Southwest,89,29.89,,73,2026-08-26 01:42:17,2026-08-26 01:00:00,2026-08-26 01:42:04+00:00
Edmonton,Canada,https://www.timeanddate.com/weather/canada/edmonton,Edmonton International,75,23.9,Passing clouds.,78,82,56,8,South,47,30.14,20,54,2026-08-25 19:42:39,2026-08-25 19:00:00,2026-08-26 01:42:04+00:00
Nassau,Bahamas,https://www.timeanddate.com/weather/bahamas/nassau,Nassau Airport,84,28.9,Thundershowers. Passing clouds.,94,91,80,3,Southeast,79,30.06,,77,2026-08-25 21:42:48,2026-08-25 21:00:00,2026-08-26 01:42:04+00:00
Addis Ababa,Ethiopia,https://www.timeanddate.com/weather/ethiopia/addis-ababa,Addis Ababa Airport,59,15.0,Passing clouds.,59,73,52,2,Northwest,94,30.33,,57,2026-08-26 04:42:57,2026-08-26 04:00:00,2026-08-26 01:42:04+00:00
Frankfurt,Germany,https://www.timeanddate.com/weather/germany/frankfurt,Frankfurt-M-Flughafen Airport,61,16.1,Passing clouds.,61,86,63,5,North,88,30.01,,57,2026-08-26 03:43:06,2026-08-26 03:20:00,2026-08-26 01:42:04+00:00
New Delhi,India,https://www.timeanddate.com/weather/india/new-delhi,New Delhi / Safdarjung,81,27.2,Fog.,90,99,80,0,,98,29.61,1,80,2026-08-26 07:13:15,2026-08-26 05:30:00,2026-08-26 01:42:04+00:00
Adelaide,Australia,https://www.timeanddate.com/weather/australia/adelaide,Westbourne Park - MADIS Station,58,14.4,Cool.,58,65,45,0,,78,30.24,,51,2026-08-26 11:13:24,2026-08-26 10:25:00,2026-08-26 01:42:04+00:00
Guatemala City,Guatemala,https://www.timeanddate.com/weather/guatemala/guatemala,Guatemala Aeropuertola Aurora,72,22.2,Rain. Overcast.,75,79,59,21,North,69,30.18,,61,2026-08-25 19:43:33,2026-08-25 19:30:00,2026-08-26 01:42:04+00:00
New Orleans,Usa,https://www.timeanddate.com/weather/usa/new-orleans,Lakefront Airport,81,27.2,Clear.,87,93,77,13,Southwest,85,29.97,10,76,2026-08-25 20:43:42,2026-08-25 19:53:00,2026-08-26 01:42:04+00:00
Algiers,Algeria,https://www.timeanddate.com/weather/algeria/algiers,Alger-Port,82,27.8,Passing clouds.,91,89,74,0,,89,29.89,6,78,2026-08-26 02:43:52,2026-08-26 01:00:00,2026-08-26 01:42:04+00:00
Halifax,Canada,https://www.timeanddate.com/weather/canada/halifax,Halifax International Airport,64,17.8,Passing clouds.,64,75,61,8,South,100,29.93,15,64,2026-08-25 22:44:01,2026-08-25 22:00:00,2026-08-26 01:42:04+00:00
New York,Usa,https://www.timeanddate.com/weather/usa/new-york,New York City - Central Park,73,22.8,Clear.,76,82,65,0,,62,30.01,10,59,2026-08-25 21:44:11,2026-08-25 20:51:00,2026-08-26 01:42:04+00:00
Almaty,Kazakstan,https://www.timeanddate.com/weather/kazakstan/almaty,Almaty Airport,59,15.0,Clear.,59,85,56,1,South,77,30.09,,52,2026-08-26 06:44:20,2026-08-26 06:00:00,2026-08-26 01:42:04+00:00
Hanoi,Vietnam,https://www.timeanddate.com/weather/vietnam/hanoi,Ha Noi Airport,82,27.8,Scattered clouds.,94,90,80,2,North,94,29.59,5,81,2026-08-26 08:44:28,2026-08-26 08:00:00,2026-08-26 01:42:04+00:00
Oslo,Norway,https://www.timeanddate.com/weather/norway/oslo,Oslo Gardermoen Airport,52,11.1,Clear.,52,73,56,2,North,82,30.27,10,46,2026-08-26 03:44:38,2026-08-26 03:20:00,2026-08-26 01:42:04+00:00
Amman,Jordan,https://www.timeanddate.com/weather/jordan/amman,Amman Airport,79,26.1,Clear.,79,95,71,5,Southwest,37,29.95,5,50,2026-08-26 04:44:48,2026-08-26 04:00:00,2026-08-26 01:42:04+00:00
Harare,Zimbabwe,https://www.timeanddate.com/weather/zimbabwe/harare,Harare Kutsaga,63,17.2,Clear.,63,78,49,4,Southeast,27,,9,29,2026-08-26 03:44:57,2026-08-25 20:00:00,2026-08-26 01:42:04+00:00
Ottawa,Canada,https://www.timeanddate.com/weather/canada/ottawa,Ottawa Int'L. Ont.,64,17.8,Passing clouds.,64,78,56,3,Southwest,83,30.02,15,59,2026-08-25 21:45:06,2026-08-25 21:00:00,2026-08-26 01:42:04+00:00
Amsterdam,Netherlands,https://www.timeanddate.com/weather/netherlands/amsterdam,Amsterdam Schiphol Airport,57,13.9,Clear.,56,82,63,6,East,82,29.98,10,52,2026-08-26 03:45:15,2026-08-26 02:55:00,2026-08-26 01:42:04+00:00
Havana,Cuba,https://www.timeanddate.com/weather/cuba/havana,Aeropuerto Jose Marti - Rancho-Boyeros - Habana,75,23.9,Passing clouds.,74,91,76,2,East,94,30.01,5,73,2026-08-25 21:45:24,2026-08-25 20:50:00,2026-08-26 01:42:04+00:00
Paris,France,https://www.timeanddate.com/weather/france/paris,Villacoublay,66,18.9,Passing clouds.,66,81,65,3,South,88,29.92,,63,2026-08-26 03:45:32,2026-08-26 03:00:00,2026-08-26 01:42:04+00:00
Anadyr,Russia,https://www.timeanddate.com/weather/russia/anadyr,Anadyr,45,7.2,Partly sunny.,37,54,36,18,Northwest,61,29.96,31,32,2026-08-26 13:45:42,2026-08-26 12:00:00,2026-08-26 01:42:04+00:00
