city,country,forecast_date,day_of_week,temp_high_f,temp_low_f,temp_high_c,temp_low_c,temp_range_f,condition,feels_like_f,wind_mph,wind_bearing_deg,wind_from,humidity_pct,precip_chance_pct,precip_amount_in,uv_index,uv_category,sunrise,sunset,scraped_at
Algiers,Algeria,2026-08-26,Wed,91,75,32.8,23.9,16,Cloudy.,100,9,310,Northwest,67,2,0.0,3,Moderate,6:13 am,7:24 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-08-27,Thu,89,74,31.7,23.3,15,Mostly cloudy.,94,8,340,North-northwest,56,2,0.0,3,Moderate,6:14 am,7:23 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-08-28,Fri,87,72,30.6,22.2,15,Mostly sunny.,89,7,340,North-northwest,52,2,0.0,5,Moderate,6:15 am,7:21 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-08-29,Sat,89,72,31.7,22.2,17,Broken clouds.,92,9,20,North-northeast,57,15,0.03,3,Moderate,6:16 am,7:20 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-08-30,Sun,89,74,31.7,23.3,15,Broken clouds.,95,8,30,North-northeast,59,5,0.01,3,Moderate,6:17 am,7:19 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-08-31,Mon,87,74,30.6,23.3,13,Mostly sunny.,91,7,10,North,60,0,0.0,3,Moderate,6:17 am,7:17 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-09-01,Tue,87,76,30.6,24.4,11,Scattered clouds.,92,12,60,East-northeast,59,0,0.0,5,Moderate,6:18 am,7:16 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-09-02,Wed,83,73,28.3,22.8,10,Mostly sunny.,86,13,50,Northeast,63,2,0.0,5,Moderate,6:19 am,7:14 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-09-03,Thu,84,75,28.9,23.9,9,Sunny.,85,14,50,Northeast,53,1,0.0,5,Moderate,6:20 am,7:13 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-09-04,Fri,84,74,28.9,23.3,10,Sunny.,84,11,60,East-northeast,50,2,0.0,5,Moderate,6:21 am,7:11 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-09-05,Sat,84,74,28.9,23.3,10,Sunny.,84,10,50,Northeast,45,4,0.0,5,Moderate,6:21 am,7:10 pm,2026-08-26 01:42:04+00:00
Algiers,Algeria,2026-09-06,Sun,84,73,28.9,22.8,11,Partly cloudy.,87,11,50,Northeast,56,5,0.0,5,Moderate,6:22 am,7:08 pm,2026-08-26 01:42:04+00:00
