city,country,url,temp,condition,feels_like,forecast_hi_lo,wind,location,current_time,latest_report,visibility,pressure,humidity,dew_point,scraped_at
Accra,ghana,https://www.timeanddate.com/weather/ghana/accra,77 °F,Mostly cloudy.,78 °F,82 / 76 °F,10 mph ↑ from Southwest,Accra Airport,"Aug 26, 2026 at 1:42:17 am","Aug 26, 2026 at 1:00 am",N/A,"29.89 ""Hg",89%,73 °F,2026-08-26T01:42:04+00:00
Edmonton,canada,https://www.timeanddate.com/weather/canada/edmonton,75 °F,Passing clouds.,78 °F,82 / 56 °F,8 mph ↑ from South,Edmonton International,"Aug 25, 2026 at 7:42:39 pm","Aug 25, 2026 at 7:00 pm",20 mi,"30.14 ""Hg (27.83 ""Hg at 692m altitude)",47%,54 °F,2026-08-26T01:42:04+00:00
Nassau,bahamas,https://www.timeanddate.com/weather/bahamas/nassau,84 °F,Thundershowers. Passing clouds.,94 °F,91 / 80 °F,3 mph ↑ from Southeast,Nassau Airport,"Aug 25, 2026 at 9:42:48 pm","Aug 25, 2026 at 9:00 pm",N/A,"30.06 ""Hg",79%,77 °F,2026-08-26T01:42:04+00:00
Addis Ababa,ethiopia,https://www.timeanddate.com/weather/ethiopia/addis-ababa,59 °F,Passing clouds.,59 °F,73 / 52 °F,2 mph ↑ from Northwest,Addis Ababa Airport,"Aug 26, 2026 at 4:42:57 am","Aug 26, 2026 at 4:00 am",N/A,"30.33 ""Hg (22.94 ""Hg at 2354m altitude)",94%,57 °F,2026-08-26T01:42:04+00:00
Frankfurt,germany,https://www.timeanddate.com/weather/germany/frankfurt,61 °F,Passing clouds.,61 °F,86 / 63 °F,5 mph ↑ from North,Frankfurt-M-Flughafen Airport,"Aug 26, 2026 at 3:43:06 am","Aug 26, 2026 at 3:20 am",N/A,"30.01 ""Hg",88%,57 °F,2026-08-26T01:42:04+00:00
New Delhi,india,https://www.timeanddate.com/weather/india/new-delhi,81 °F,Fog.,90 °F,99 / 80 °F,No wind,New Delhi / Safdarjung,"Aug 26, 2026 at 7:13:15 am","Aug 26, 2026 at 5:30 am",1 mi,"29.61 ""Hg",98%,80 °F,2026-08-26T01:42:04+00:00
Adelaide,australia,https://www.timeanddate.com/weather/australia/adelaide,58 °F,Cool.,58 °F,65 / 45 °F,No wind,Westbourne Park - MADIS Station,"Aug 26, 2026 at 11:13:24 am","Aug 26, 2026 at 10:25 am",N/A,"30.24 ""Hg",78%,51 °F,2026-08-26T01:42:04+00:00
Guatemala City,guatemala,https://www.timeanddate.com/weather/guatemala/guatemala,72 °F,Rain. Overcast.,75 °F,79 / 59 °F,21 mph ↑ from North,Guatemala Aeropuertola Aurora,"Aug 25, 2026 at 7:43:33 pm","Aug 25, 2026 at 7:30 pm",N/A,"30.18 ""Hg (25.27 ""Hg at 1533m altitude)",69%,61 °F,2026-08-26T01:42:04+00:00
New Orleans,usa,https://www.timeanddate.com/weather/usa/new-orleans,81 °F,Clear.,87 °F,93 / 77 °F,13 mph ↑ from Southwest,Lakefront Airport,"Aug 25, 2026 at 8:43:42 pm","Aug 25, 2026 at 7:53 pm",10 mi,"29.97 ""Hg",85%,76 °F,2026-08-26T01:42:04+00:00
Algiers,algeria,https://www.timeanddate.com/weather/algeria/algiers,82 °F,Passing clouds.,91 °F,89 / 74 °F,No wind,Alger-Port,"Aug 26, 2026 at 2:43:52 am","Aug 26, 2026 at 1:00 am",6 mi,"29.89 ""Hg",89%,78 °F,2026-08-26T01:42:04+00:00
Halifax,canada,https://www.timeanddate.com/weather/canada/halifax,64 °F,Passing clouds.,64 °F,75 / 61 °F,8 mph ↑ from South,Halifax International Airport,"Aug 25, 2026 at 10:44:01 pm","Aug 25, 2026 at 10:00 pm",15 mi,"29.93 ""Hg",100%,64 °F,2026-08-26T01:42:04+00:00
New York,usa,https://www.timeanddate.com/weather/usa/new-york,73 °F,Clear.,76 °F,82 / 65 °F,No wind,New York City - Central Park,"Aug 25, 2026 at 9:44:11 pm","Aug 25, 2026 at 8:51 pm",10 mi,"30.01 ""Hg",62%,59 °F,2026-08-26T01:42:04+00:00
Almaty,kazakstan,https://www.timeanddate.com/weather/kazakstan/almaty,59 °F,Clear.,59 °F,85 / 56 °F,1 mph ↑ from South,Almaty Airport,"Aug 26, 2026 at 6:44:20 am","Aug 26, 2026 at 6:00 am",N/A,"30.09 ""Hg (27.40 ""Hg at 790m altitude)",77%,52 °F,2026-08-26T01:42:04+00:00
Hanoi,vietnam,https://www.timeanddate.com/weather/vietnam/hanoi,82 °F,Scattered clouds.,94 °F,90 / 80 °F,2 mph ↑ from North,Ha Noi Airport,"Aug 26, 2026 at 8:44:28 am","Aug 26, 2026 at 8:00 am",5 mi,"29.59 ""Hg",94%,81 °F,2026-08-26T01:42:04+00:00
Oslo,norway,https://www.timeanddate.com/weather/norway/oslo,52 °F,Clear.,52 °F,73 / 56 °F,2 mph ↑ from North,Oslo Gardermoen Airport,"Aug 26, 2026 at 3:44:38 am","Aug 26, 2026 at 3:20 am",10 mi,"30.27 ""Hg",82%,46 °F,2026-08-26T01:42:04+00:00
Amman,jordan,https://www.timeanddate.com/weather/jordan/amman,79 °F,Clear.,79 °F,95 / 71 °F,5 mph ↑ from Southwest,Amman Airport,"Aug 26, 2026 at 4:44:48 am","Aug 26, 2026 at 4:00 am",5 mi,"29.95 ""Hg (27.28 ""Hg at 816m altitude)",37%,50 °F,2026-08-26T01:42:04+00:00
Harare,zimbabwe,https://www.timeanddate.com/weather/zimbabwe/harare,63 °F,Clear.,63 °F,78 / 49 °F,4 mph ↑ from Southeast,Harare Kutsaga,"Aug 26, 2026 at 3:44:57 am","Aug 25, 2026 at 8:00 pm",9 mi,N/A,27%,29 °F,2026-08-26T01:42:04+00:00
Ottawa,canada,https://www.timeanddate.com/weather/canada/ottawa,64 °F,Passing clouds.,64 °F,78 / 56 °F,3 mph ↑ from Southwest,Ottawa Int'L. Ont.,"Aug 25, 2026 at 9:45:06 pm","Aug 25, 2026 at 9:00 pm",15 mi,"30.02 ""Hg",83%,59 °F,2026-08-26T01:42:04+00:00
Amsterdam,netherlands,https://www.timeanddate.com/weather/netherlands/amsterdam,57 °F,Clear.,56 °F,82 / 63 °F,6 mph ↑ from East,Amsterdam Schiphol Airport,"Aug 26, 2026 at 3:45:15 am","Aug 26, 2026 at 2:55 am",10 mi,"29.98 ""Hg",82%,52 °F,2026-08-26T01:42:04+00:00
Havana,cuba,https://www.timeanddate.com/weather/cuba/havana,75 °F,Passing clouds.,74 °F,91 / 76 °F,2 mph ↑ from East,Aeropuerto Jose Marti - Rancho-Boyeros - Habana,"Aug 25, 2026 at 9:45:24 pm","Aug 25, 2026 at 8:50 pm",5 mi,"30.01 ""Hg",94%,73 °F,2026-08-26T01:42:04+00:00
Paris,france,https://www.timeanddate.com/weather/france/paris,66 °F,Passing clouds.,66 °F,81 / 65 °F,3 mph ↑ from South,Villacoublay,"Aug 26, 2026 at 3:45:32 am","Aug 26, 2026 at 3:00 am",N/A,"29.92 ""Hg",88%,63 °F,2026-08-26T01:42:04+00:00
Anadyr,russia,https://www.timeanddate.com/weather/russia/anadyr,45 °F,Partly sunny.,37 °F,54 / 36 °F,18 mph ↑ from Northwest,Anadyr,"Aug 26, 2026 at 1:45:42 pm","Aug 26, 2026 at 12:00 pm",31 mi,"29.96 ""Hg",61%,32 °F,2026-08-26T01:42:04+00:00
Helsinki,finland,https://www.timeanddate.com/weather/finland/helsinki,52 °F,Passing clouds.,51 °F,65 / 57 °F,3 mph ↑ from Northwest,Helsinki-Vantaa,"Aug 26, 2026 at 4:45:51 am","Aug 26, 2026 at 4:20 am",N/A,"30.18 ""Hg",94%,50 °F,2026-08-26T01:42:04+00:00
Perth,australia,https://www.timeanddate.com/weather/australia/perth,61 °F,Partly sunny.,61 °F,60 / 52 °F,7 mph ↑ from North,Belmont Perth Airport,"Aug 26, 2026 at 9:46:00 am","Aug 26, 2026 at 9:00 am",N/A,"29.98 ""Hg",83%,55 °F,2026-08-26T01:42:04+00:00
