city,country,day_of_week,date_label,temp_hi_lo,condition,feels_like,wind,wind_dir,humidity,precip_chance,precip_amount,uv,sunrise,sunset,scraped_at
Accra,ghana,Wed,Aug 26,82 / 76 °F,Passing showers. Cloudy.,85 °F,14 mph,Wind blowing from 210° South-southwest to North-northeast,79%,39%,"0.07""",7 (High),5:55 am,6:09 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Thu,Aug 27,82 / 76 °F,Passing showers. Overcast.,85 °F,15 mph,Wind blowing from 210° South-southwest to North-northeast,79%,40%,"0.07""",7 (High),5:55 am,6:09 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Fri,Aug 28,81 / 75 °F,Showers late. Overcast.,84 °F,12 mph,Wind blowing from 220° Southwest to Northeast,79%,48%,"0.13""",7 (High),5:54 am,6:09 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Sat,Aug 29,80 / 75 °F,Passing showers. Overcast.,82 °F,13 mph,Wind blowing from 220° Southwest to Northeast,82%,55%,"0.21""",3 (Moderate),5:54 am,6:08 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Sun,Aug 30,81 / 75 °F,Passing showers. Overcast.,85 °F,13 mph,Wind blowing from 210° South-southwest to North-northeast,78%,41%,"0.07""",3 (Moderate),5:54 am,6:08 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Mon,Aug 31,84 / 75 °F,Broken clouds.,86 °F,13 mph,Wind blowing from 190° South to North,79%,3%,"0.00""",7 (High),5:54 am,6:07 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Tue,Sep 1,83 / 76 °F,Showers late. Overcast.,81 °F,15 mph,Wind blowing from 210° South-southwest to North-northeast,85%,15%,"0.02""",7 (High),5:54 am,6:07 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Wed,Sep 2,80 / 76 °F,Showers early. Morning clouds.,84 °F,14 mph,Wind blowing from 210° South-southwest to North-northeast,81%,49%,"0.01""",7 (High),5:54 am,6:06 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Thu,Sep 3,81 / 77 °F,Breaks of sun late.,85 °F,13 mph,Wind blowing from 200° South-southwest to North-northeast,78%,6%,"0.00""",7 (High),5:53 am,6:06 pm,2026-08-26T01:42:04+00:00
Accra,ghana,Fri,Sep 4,81 / 77 °F,Sprinkles early. Mostly cloudy.,85 °F,14 mph,Wind blowing from 210° South-southwest to North-northeast,80%,52%,"0.01""",7 (High),5:53 am,6:05 pm,2026-08-26T01:42:04+00:00
